id,name,slug,location,category,instagram
1,#1 Suspect Extracts,1-suspect-extracts,CA,"Concentrates,",NA
2,1 World Medicinals,1-world-medicinals,CA,"Flower, Concentrates, Edibles, Medical,",NA
3,1906 New Highs,1906-new-highs,CO,"Edibles,",NA
4,2020 Creations,2020-creations,CA,"Concentrates,",NA
5,2020 Future Pre Rolls,2020-future-pre-rolls,CA,"Flower,",NA
6,2020 Knockout Pre Roll Sticks,2020-knockout-pre-roll-sticks,CA,"Flower,",NA
7,2020 Medi Mudd,2020-medi-mudd,Ca,"Edibles,",NA
8,2020 Private Reserve Pre Rolls,2020-private-reserve-pre-rolls,CA,"Flower,",NA
9,23 Oils,23-oils,CA,"Concentrates,",NA
10,24 KARAT EXTRACTIONS (CANADA),24-karat-extractions-canada,CA,"Concentrates,",NA
11,24K Concentrates,24k-concentrates,CA,"Concentrates,",NA
12,2WNTY3,2wnty3,CA,"Vapes,",NA
13,4 LOVE OIL,4-love-oil,CA,"Edibles, Medical,",NA
14,41 Wax Co.,41-wax-co,CA,"Concentrates,",NA
15,420 Vapor,420-vapor,CA,"Concentrates, Vape Pens,",NA
16,420 Yummies,420-yummies,CA,"Edibles,",NA
17,5-Hour High Co.,5-hour-high-co,CA,"Edibles,",NA
18,5150 Wax Rolls,5150-wax-rolls,California,"Flower,",NA
19,7 Points Oregon,7-points-oregon,OR,"Flower,",NA
20,710 Errl Pharm,710-errl-pharm,CA,"Concentrates,",NA
21,710 Kingpen,710-kingpen,CA,"Vapes,",NA
22,710 Labs,710-labs,CA,"Concentrates,",NA
23,805 BUDDHA BLISS,805-buddha-bliss,CA,NA,NA
24,831 Organiks,831-organiks,CA,NA,NA
25,831 Quality,831-quality,CA,"Flower,",NA
26,9 Planet Moonbites,9-planet-moonbites,CA,NA,NA
27,Ablis Sparkling Green,ablis-sparkling-green,CA,"Edibles,",NA
28,Above Top Shelf,above-top-shelf,CA,"Flower, Edibles,",NA
29,Absolute Cannabis Seeds,absolute-cannabis-seeds,CA,"Flower,",NA
30,Absolute Terps,absolute-terps,CA,"Concentrates,",NA
31,AbsoluteXtracts,absolutextracts,CA,"Flower, Vape Pens, Edibles, Medical,",NA
32,ACE Seeds,ace-seeds,CA,"Flower,",NA
33,ACME Elixirs,acme-elixirs,CA,"Concentrates,",NA
34,Advanced Extracts,advanced-extracts,CA,"Concentrates,",NA
35,Aftermath Cannabis,aftermath-cannabis,CA,"Concentrates, Edibles,",NA
36,Agua De Flor,agua-de-flor,CA,NA,NA
37,Aims Horticulture,aims-horticulture,California,"Flower, Batteries, Apparel,",NA
38,Alaf Farms,alaf-farms,CA,"Flower,",NA
39,ALAIR Vaporizers (CANADA),alair-vaporizers-canada,BC,"Vapes,",NA
40,Alaskan Built Seeds,alaskan-built-seeds,CA,"Flower,",NA
41,Alchemy by Dark Heart,alchemy-by-dark-heart,CA,"Vapes,",NA
42,Alchemy Edibles,alchemy-edibles,CA,"Edibles,",NA
43,Alchemy Extracts,alchemy-extracts,CA,NA,NA
44,Alef,alef,MI,"Flower,",NA
