id,status,sort,name,slug,image,description,type,crosses,breeder,effects,ailment,flavor,location,terpenes,thc,thca,thcv,cbd,cbda,cbdv,cbn,cbg,cbgm,cbgv,cbc,cbcv,cbv,cbe,cbt,cbl
1,1,0,100 OG,NA,"NA","<p>This strain is named after it's high price in it's Hollywood home. As a 50/50 hybrid of indica and sativa, $100 OG does a great job offering pain relief with an alert, cerebral high.</p>",Hybrid,"NA",Old School Breeder's Association,Focused,Depression,Citrus,NA,Limonene,127,0,0,16,0,0,10,0,0,0,0,0,0,0,0,0
2,1,0,707 Headband,NA,NA,NA,Hybrid,"378,272",Unknown Breeder,NA,NA,NA,NA,NA,127,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,0,A-10,NA,NA,NA,Indica,0,"NA","Relaxed, Happy, Uplifted, Energetic, Sleepy, Dry Mouth, Paranoid","Stress, Insomnia, Pain, Muscle Spasms, Depression","Citrus, Sweet",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,0,Acapulco Gold,NA,NA,NA,Sativa,0,"NA","Happy, Euphoric, Uplifted, Relaxed, Creative, Dry Mouth, Paranoid, Anxious","Depression, Stress, Pain, Lack of Appetite","Earthy, Citrus",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,0,Afghani Bullrider,NA,NA,NA,Hybrid,0,Unknown Breeder,"Uplifted, Relaxed, Happy, Euphoric, Dry Mouth, Paranoid","Stress, Depression, Insomnia, Pain","Sweet, Pine, Earthy",NA,NA,127,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,0,Afghan Big Bud,NA,NA,NA,Indica,"9,39","NA","Euphoric, Happy, Talkative, Relaxed, Sleepy, Dry Mouth, Paranoid","Stress, Pain, Nausea, Insomnia, Depression","Lemon, Lavender",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,0,Afghan Diesel,NA,NA,NA,Hybrid,0,Unknown Breeder,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,0,Afghan Kush,NA,NA,NA,Hybrid,0,White Label Co.,NA,NA,NA,"Yucca Valley, CA",NA,1300,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,0,Afghani,NA,NA,NA,Indica,0,"NA","Relaxed, Sleepy, Euphoric, Happy, Uplifted, Dry Mouth, Paranoid","Stress, Insomnia, Pain, Lack of Appetite, Depression","Earthy, Sweet, Pine",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,0,Afghanica,NA,NA,NA,Hybrid,10,Flying Dutchmen Seed Company,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1,0,Afghooey,NA,NA,NA,Indica,0,"NA","Uplifted, Sleepy, Euphoric, Relaxed, Talkative, Dry Mouth, Paranoid","Pain, Stress, Insomnia, Depression, Muscle Spasms","Earthy, Sweet",NA,NA,127,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,0,Afgoo,NA,NA,NA,Indica,0,"NA","Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious","Stress, Pain, Insomnia, Lack of Appetite, Muscle Spasms","Pine, Earthy, Citrus",NA,NA,127,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,1,0,Afgooey,NA,NA,NA,Indica,0,"NA","Relaxed, Happy, Sleepy, Euphoric, Dry Mouth, Paranoid, Anxious","Pain, Insomnia, Lack of Appetite, Stress, Muscle Spasms","Earthy, Pine",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1,0,Afwreck,NA,NA,NA,Hybrid,0,Unknown Breeder,NA,NA,NA,NA,NA,127,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1,0,Agent Orange,NA,NA,NA,Hybrid,"455, 386",TGA Seeds,NA,NA,NA,NA,NA,127,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1,0,AK-47,NA,NA,NA,Hybrid,"10, 257",Serious Seeds,NA,NA,NA,NA,NA,127,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1,0,AK-48,NA,NA,NA,Hybrid,0,Nirvana,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,1,0,Alaskan Thunder Fuck,NA,NA,NA,Sativa,0,Northern View Collective,"Happy, Euphoric, Uplifted, Energetic, Relaxed, Dry Mouth, Paranoid, Anxious","Stress, Depression, Lack of Appetite, Pain","Earthy, Pine","Mt. Shasta, CA",NA,1500,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1,0,Alien Kush,NA,NA,NA,Hybrid,0,The Cali Connection,"NA","NA",Earthy,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1,0,Aloha,NA,NA,NA,Hybrid,0,Unknown Breeder,"Energetic, Uplifted, Happy, Creative, Focused, Dry Mouth, Anxious","Depression, Stress, Pain","Sweet, Citrus",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1,0,Alohaberry,NA,NA,NA,Hybrid,0,"NA",NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,1,0,Ambrosia,NA,NA,NA,Hybrid,"139,81",Jordan of the Islands,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,1,0,Amethyst,NA,NA,NA,Hybrid,0,Gage Green Group,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,1,0,Amnesia Haze,NA,NA,NA,Hybrid,0,Soma Seeds,"Happy, Uplifted, Euphoric, Energetic, Creative, Dry Mouth, Paranoid, Anxious","Stress, Depression, Pain","Citrus, Lemon, Earthy",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,1,0,Anesthesia,NA,NA,NA,Indica,0,"NA","Hungry, Sleepy, Happy, Euphoric, Creative, Paranoid, Anxious","Pain, Stress, Insomnia, Lack of Appetite",Earthy,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,1,0,Apollo 11,NA,NA,NA,Hybrid,0,Brothers Grimm Marijuana Seed Bank,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,1,0,Arabian Gold,NA,NA,NA,Hybrid,0,Unknown Breeder,"Euphoric, Tingly, Sleepy, Creative, Paranoid","Stress, Insomnia, Pain","NA",NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,1,0,Arjan's Strawberry Haze,NA,NA,NA,Hybrid,"268, 174",Green House,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
